PATH                                                         4.1.1         3.39 no conv    STATUS    3.39 conv       STATUS    CONVERSION EFFECT
===================================================================================================================================================

-- IDS level ---------------------------------------------------------------------------------------------------------------------------------------
ids_properties/homogeneous_time                                     1                1      SAME              1      SAME      unchanged
vacuum_toroidal_field/r0                                 6.200000E+00     6.200000E+00      SAME   6.200000E+00      SAME      unchanged
vacuum_toroidal_field/b0[2]                              5.300000E+00     5.300000E+00      SAME   5.300000E+00      SAME      unchanged
time[2]                                                  1.000000E+00     1.000000E+00      SAME   1.000000E+00      SAME      unchanged
time_slice/time                                          1.000000E+00     1.000000E+00      SAME   1.000000E+00      SAME      unchanged

-- global_quantities -------------------------------------------------------------------------------------------------------------------------------
global_quantities/ip                                    -1.500000E+07     1.500000E+07      FLIP  -1.500000E+07      SAME      sign corrected
global_quantities/beta_pol                               6.500000E-01     6.500000E-01      SAME   6.500000E-01      SAME      unchanged
global_quantities/beta_tor                               2.500000E-02     2.500000E-02      SAME   2.500000E-02      SAME      unchanged
global_quantities/beta_tor_norm                          1.800000E+00                -     ONLY4   1.800000E+00      SAME      recovered
global_quantities/li_3                                   8.500000E-01     8.500000E-01      SAME   8.500000E-01      SAME      unchanged
global_quantities/volume                                 8.310000E+02     8.310000E+02      SAME   8.310000E+02      SAME      unchanged
global_quantities/area                                   2.190000E+01     2.190000E+01      SAME   2.190000E+01      SAME      unchanged
global_quantities/surface                                6.830000E+02     6.830000E+02      SAME   6.830000E+02      SAME      unchanged
global_quantities/length_pol                             2.430000E+01     2.430000E+01      SAME   2.430000E+01      SAME      unchanged
global_quantities/psi_axis                               7.500000E-01    -7.500000E-01      FLIP   7.500000E-01      SAME      sign corrected
global_quantities/psi_magnetic_axis                      7.500000E-01                -     ONLY4   7.500000E-01      SAME      recovered
global_quantities/psi_boundary                          -3.250000E+00     3.250000E+00      FLIP  -3.250000E+00      SAME      sign corrected
global_quantities/rho_tor_boundary                       1.850000E+00                -     ONLY4   0.000000E+00      DIFF      created, wrong/default
global_quantities/magnetic_axis/r                        6.350000E+00     6.350000E+00      SAME   6.350000E+00      SAME      unchanged
global_quantities/magnetic_axis/z                        5.500000E-01     5.500000E-01      SAME   5.500000E-01      SAME      unchanged
global_quantities/magnetic_axis/b_field_phi              5.200000E+00                -     ONLY4              -     ONLY4      unchanged/unavailable
global_quantities/current_centre/r                       6.300000E+00     6.300000E+00      SAME   6.300000E+00      SAME      unchanged
global_quantities/current_centre/z                       5.000000E-01     5.000000E-01      SAME   5.000000E-01      SAME      unchanged
global_quantities/current_centre/velocity_z              1.500000E-01     1.500000E-01      SAME   1.500000E-01      SAME      unchanged
global_quantities/q_axis                                 9.500000E-01     9.500000E-01      SAME   9.500000E-01      SAME      unchanged
global_quantities/q_95                                   3.150000E+00     3.150000E+00      SAME   3.150000E+00      SAME      unchanged
global_quantities/q_min/value                            9.200000E-01     9.200000E-01      SAME   9.200000E-01      SAME      unchanged
global_quantities/q_min/rho_tor_norm                     1.500000E-01     1.500000E-01      SAME   1.500000E-01      SAME      unchanged
global_quantities/q_min/psi_norm                         2.250000E-02                -     ONLY4   0.000000E+00      DIFF      created, wrong/default
